Station,Lat,Lon,Method,Status
1,49.8445,0.1958,GOV,pending
3,49.6242,0.0623,GOV,pending
5,50.3873,0.803,GOV,pending
7,50.2993,0.5287,GOV,pending
9,50.4492,1.1705,JST,pending
11,50.1964,1.1764,GOV,pending
13,50.8768,0.9211,JST,pending
15,50.6317,0.0899,GOV,pending
17,50.8503,1.3385,GOV,pending
19,50.6705,1.0495,GOV,pending
21,51.0515,1.232,JST,pending
23,51.33,1.755,GOV,pending
25,51.1083,2.0536,GOV,pending
27,51.4706,2.4285,JST,pending
29,51.9305,1.8154,GOV,pending
31,51.75,1.9108,GOV,pending
33,51.8266,2.1746,JST,pending
35,51.6308,2.8118,GOV,pending
37,51.5895,3.1513,GOV,pending
39,51.8521,3.7491,GOV,pending
41,52.2717,1.8973,GOV,pending
42,52.256,2.5481,GOV,pending
44,52.2921,2.2173,GOV,pending
46,52.384,3.313,GOV,pending
48,52.2617,3.8801,JST,pending
50,52.4621,4.2248,GOV,pending
52,52.0393,4.0263,JST,pending
54,52.9505,1.8326,GOV,pending
55,52.7576,2.2141,GOV,pending
57,52.9057,2.6956,GOV,pending
59,52.6545,3.3253,JST,pending
61,52.6836,3.6206,GOV,pending
63,52.6803,4.0421,GOV,pending
65,52.7033,4.3873,JST,pending
67,53.4693,0.909,GOV,pending
69,53.4354,0.7518,GOV,pending
71,53.4326,1.0724,GOV,pending
73,53.4178,1.494,JST,pending
75,53.4667,2.8811,GOV,pending
77,53.2207,2.355,GOV,pending
79,53.3685,3.1891,JST,pending
81,53.1401,3.7694,GOV,pending
83,53.334,4.1241,GOV,pending
85,53.3636,4.407,JST,pending
87,53.9348,0.3743,JST,pending
89,53.9132,0.922,GOV,pending
91,53.9372,1.2951,GOV,pending
93,53.6335,1.56,GOV,pending
95,53.7982,2.8841,GOV,pending
97,53.9256,2.3758,JST,pending
99,53.879,3.8928,GOV,pending
101,53.564,3.1723,GOV,pending
103,53.9611,4.8586,GOV,pending
105,53.8275,4.2146,GOV,pending
107,53.8555,5.2131,GOV,pending
109,53.7333,5.5167,GOV,pending
111,53.8517,6.315,GOV,pending
113,53.6166,6.1193,JST,pending
115,53.8798,7.0716,GOV,pending
117,53.941,7.4593,GOV,pending
119,54.4667,0,GOV,pending
120,54.3851,0.6743,GOV,pending
122,54.4569,0.318,GOV,pending
124,54.3864,1.2597,GOV,pending
126,54.0924,1.8549,GOV,pending
128,54.2498,2.4979,JST,pending
130,54.285,2.8889,GOV,pending
132,54.1974,3.2197,GOV,pending
134,54.4441,3.3261,GOV,pending
136,54.3014,4.3398,GOV,pending
138,54.1206,4.2721,GOV,pending
140,54.25,5.6667,JST,pending
142,54.3616,5.2386,GOV,pending
144,54.2338,6.4906,GOV,pending
146,54.2473,6.1822,GOV,pending
148,54.2721,7.6175,GOV,pending
150,54.0825,7.8113,GOV,pending
152,54.3549,8.0806,GOV,pending
153,54.903,-0.2047,GOV,pending
155,54.6223,-0.5891,JST,pending
157,54.7636,0.1755,GOV,pending
159,54.7871,0.6943,JST,pending
161,54.9516,1.814,JST,pending
163,54.6493,1.515,GOV,pending
165,54.8311,2.3051,GOV,pending
167,54.5757,2.5536,JST,pending
169,54.658,3.8095,GOV,pending
171,54.7667,3.3343,GOV,pending
173,54.7667,4.4833,JST,pending
175,54.7652,4.8985,GOV,pending
177,54.7518,5.6224,GOV,pending
179,54.7175,5.2171,JST,pending
181,54.8425,6.3323,GOV,pending
183,54.9071,6.6117,GOV,pending
185,54.7718,7.5347,JST,pending
187,54.5245,7.2583,GOV,pending
189,54.9193,8.0494,JST,pending
190,55.404,-1.1281,GOV,pending
192,55.1236,-1.1748,GOV,pending
194,55.0673,-0.674,GOV,pending
196,55.3665,-0.1701,GOV,pending
198,55.2078,0.7171,JST,pending
200,55.3791,0.1923,GOV,pending
202,55.386,1.9448,GOV,pending
204,55.24,1.5203,GOV,pending
206,55.2139,2.5665,GOV,pending
208,55.4531,2.3435,GOV,pending
210,55.2303,3.8251,JST,pending
212,55.1626,3.5366,GOV,pending
214,55.2004,4.2122,GOV,pending
216,55.0381,4.8773,GOV,pending
218,55.1588,5.7775,GOV,pending
220,55.208,5.468,GOV,pending
222,55.2667,6.1333,GOV,pending
224,55.2073,6.985,GOV,pending
226,55.3106,7.5741,GOV,pending
228,55.1,7.3,JST,pending
230,55.2535,8.1324,GOV,pending
231,55.9438,-1.1861,GOV,pending
233,55.973,-1.8763,JST,pending
235,55.6755,-0.3565,GOV,pending
237,55.8474,-0.7724,JST,pending
239,55.6296,0.2101,GOV,pending
241,55.811,0.5455,JST,pending
243,55.7496,1.3705,GOV,pending
245,55.5823,1.7358,JST,pending
247,55.6025,2.1599,GOV,pending
249,55.6,2.65,JST,pending
251,55.8028,3.2622,JST,pending
253,55.6733,3.6616,GOV,pending
255,55.9503,4.1011,JST,pending
257,55.8199,4.4494,GOV,pending
259,55.7575,5.3778,GOV,pending
261,55.6696,5.6447,GOV,pending
263,55.7872,6.1157,GOV,pending
265,55.9247,6.5937,GOV,pending
267,55.5049,7.1943,GOV,pending
269,55.9547,7.0505,GOV,pending
271,56.423,-2.154,GOV,pending
273,56.125,-2.56,GOV,pending
275,56.2687,-1.5745,GOV,pending
277,56.2653,-1.2198,GOV,pending
279,56.336,-0.4798,GOV,pending
281,56.244,-0.8955,GOV,pending
283,56.1478,0.2373,JST,pending
